Date,Open,High,Low,Close,Adj Close,Volume,Days 
2022-02-10,2082.51001,2105.209961,2039.619995,2051.159912,2051.159912,5314860000,0
2022-02-11,2051.26001,2074.060059,2016.410034,2030.150024,2030.150024,5251500000,1
2022-02-14,2030.180054,2048.26001,2011.369995,2020.790039,2020.790039,4600390000,2
2022-02-15,2022.219971,2078.330078,2022.219971,2076.459961,2076.459961,4430830000,3
2022-02-16,2075.629883,2084.97998,2060.320068,2079.310059,2079.310059,4283640000,4
2022-02-17,2078.5,2078.5,2025.119995,2028.089966,2028.089966,4539420000,5
2022-02-18,2028,2038.130005,2004.72998,2009.329956,2009.329956,4708060000,6
2022-02-22,2008.680054,2016.430054,1970.630005,1980.170044,1980.170044,5121900000,7
2022-02-23,1980.98999,2001.550049,1942.27002,1944.089966,1944.089966,4797430000,8
2022-02-24,1942.300049,1996.839966,1894.449951,1996.01001,1996.01001,6752130000,9
2022-02-25,1995.839966,2040.930054,1988.01001,2040.930054,2040.930054,5177060000,10
2022-02-28,2040.310059,2059.439941,2020.51001,2048.090088,2048.090088,6071370000,11
2022-03-01,2047.23999,2050.649902,1995.420044,2008.51001,2008.51001,5846230000,12
2022-03-02,2009.01001,2065.709961,2009.01001,2058.870117,2058.870117,5337870000,13
2022-03-03,2059.149902,2067.280029,2019.97998,2032.410034,2032.410034,5039890000,14
2022-03-04,2031.160034,2031.160034,1985.51001,2000.900024,2000.900024,5797380000,15
2022-03-07,2001.030029,2007.459961,1951.209961,1951.329956,1951.329956,6940470000,16
2022-03-08,1951.589966,2004.47998,1951.589966,1963.01001,1963.01001,7243120000,17
2022-03-09,1964.449951,2022.550049,1964.449951,2016.290039,2016.290039,5662670000,18
2022-03-10,2013.619995,2013.619995,1982.109985,2011.670044,2011.670044,4980830000,19
2022-03-11,2012.439941,2027.390015,1979.069946,1979.670044,1979.670044,4938640000,20
2022-03-14,1979.790039,1983.430054,1932.709961,1941.719971,1941.719971,5574920000,21
2022-03-15,1942.079956,1969.849976,1942.079956,1968.969971,1968.969971,5392470000,22
2022-03-16,1970.109985,2031.800049,1970.109985,2030.719971,2030.719971,6309750000,23
2022-03-17,2029.880005,2065.02002,2019.209961,2065.02002,2065.02002,4985090000,24
2022-03-18,2064.689941,2087.550049,2059.689941,2086.139893,2086.139893,8278430000,25
2022-03-21,2085.820068,2093.379883,2054.780029,2065.939941,2065.939941,4869820000,26
2022-03-22,2066.919922,2097.610107,2066.919922,2088.340088,2088.340088,4754840000,27
2022-03-23,2086.699951,2086.699951,2051.449951,2052.209961,2052.209961,4550670000,28
2022-03-24,2054.100098,2075.48999,2047.27002,2075.439941,2075.439941,4131390000,29
2022-03-25,2075.889893,2081.320068,2064.199951,2077.97998,2077.97998,4305020000,30
2022-03-28,2078.300049,2078.300049,2049.540039,2078.060059,2078.060059,4312260000,31
2022-03-29,2079.310059,2138.449951,2079.310059,2133.100098,2133.100098,5085910000,32
2022-03-30,2132.830078,2132.830078,2084.370117,2091.070068,2091.070068,4385570000,33
2022-03-31,2090.909912,2100.73999,2069.219971,2070.129883,2070.129883,4823020000,34
2022-04-01,2071.219971,2091.72998,2068.050049,2091.110107,2091.110107,4562940000,35
2022-04-04,2091.530029,2096.929932,2076.5,2095.439941,2095.439941,4547350000,36
2022-04-05,2095,2103.360107,2043.079956,2046.040039,2046.040039,4800620000,37
2022-04-06,2044.810059,2044.810059,2005.050049,2016.939941,2016.939941,4986830000,38
2022-04-07,2016.880005,2024,1984.150024,2009.800049,2009.800049,4821490000,39
2022-04-08,2009.060059,2017.079956,1993.040039,1994.560059,1994.560059,4083200000,40
2022-04-11,1993.530029,2004.680054,1976.589966,1980.319946,1980.319946,4266290000,41
2022-04-12,1983.130005,2027.550049,1980.959961,1986.939941,1986.939941,4152090000,42
2022-04-13,1987.329956,2028.790039,1987.329956,2025.099976,2025.099976,3828150000,43
2022-04-14,2025.170044,2034.219971,2004.969971,2004.97998,2004.97998,4083090000,44
2022-04-18,2003.27002,2003.27002,1981.689941,1990.130005,1990.130005,3910490000,45
2022-04-19,1990.209961,2035.790039,1990.209961,2030.77002,2030.77002,4108120000,46
2022-04-20,2032.390015,2052.080078,2032.390015,2038.189941,2038.189941,4290450000,47
2022-04-21,2046.709961,2060.080078,1986.910034,1991.459961,1991.459961,4636890000,48
2022-04-22,1986.660034,1986.660034,1939.339966,1940.660034,1940.660034,4651940000,49
2022-04-25,1933.23999,1954.400024,1908.819946,1954.199951,1954.199951,5240040000,50
2022-04-26,1940.079956,1940.079956,1890.469971,1890.469971,1890.469971,4689970000,51
2022-04-27,1891.109985,1909.109985,1879.650024,1884.040039,1884.040039,4769680000,52
2022-04-28,1891.920044,1927.47998,1864.420044,1917.939941,1917.939941,4854180000,53
2022-04-29,1914.359985,1928.319946,1860.579956,1864.099976,1864.099976,5084030000,54
2022-05-02,1863.660034,1888.839966,1839.25,1882.910034,1882.910034,5163790000,55
2022-05-03,1882.579956,1907.300049,1875.97998,1898.859985,1898.859985,4582050000,56
2022-05-04,1904.089966,1952.75,1875.359985,1949.920044,1949.920044,5136360000,57
2022-05-05,1935.640015,1935.640015,1849.449951,1871.150024,1871.150024,5077030000,58
2022-05-06,1867.72998,1867.72998,1821.099976,1839.560059,1839.560059,5116940000,59
2022-05-09,1833.47998,1833.47998,1754.209961,1762.079956,1762.079956,5954520000,60
2022-05-10,1771.459961,1794.640015,1727.380005,1761.790039,1761.790039,5885820000,61
2022-05-11,1763.02002,1791.849976,1715.77002,1718.140015,1718.140015,5816140000,62
